shs,hsg,scl,clg,adv,PEXP,PEXP2,PEXP3,PEXP4,PEXP5,PEXP6,PEXP7,PEXP8,PEXP9,MALE,NE,MW,SO,WE,wage,lwage
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,12,2.484906649788
0,0,0,1,0,12,1.44,1.728,2.0736,2.48832,2.985984,3.5831808,4.29981696,5.159780352,1,0,0,0,1,15,2.70805020110221
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,19,2.94443897916644
0,0,1,0,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,0,0,0,0,1,14,2.63905732961526
0,0,0,1,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,0,0,0,0,1,9.75,2.27726728500976
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,2.484906649788
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,1,13.34,2.59076704048748
0,1,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,0,0,0,0,1,14.94,2.70404217970467
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,2.01490302054226
1,0,0,0,0,10,1,1,1,1,1,1,1,1,1,0,0,0,1,20,2.99573227355399
0,0,1,0,0,30,9,27,81,243,729,2187,6561,19683,1,0,0,0,1,24.5,3.19867311755068
0,1,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,1,24,3.17805383034795
0,0,0,1,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,1,0,0,0,1,18.5,2.91777073208428
0,0,1,0,0,28,7.84,21.952,61.4656,172.10368,481.890304,1349.2928512,3778.01998336,10578.455953408,1,0,0,0,1,13.25,2.58399755243223
0,0,1,0,0,19,3.61,6.859,13.0321,24.76099,47.045881,89.3871739,169.83563041,322.687697779,0,0,0,0,1,18,2.89037175789616
1,0,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,21.3,3.05870707271538
1,0,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,1,0,0,0,1,9,2.19722457733622
0,0,0,0,1,28,7.84,21.952,61.4656,172.10368,481.890304,1349.2928512,3778.01998336,10578.455953408,0,0,0,0,1,17,2.83321334405622
0,1,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,0,0,0,0,1,8,2.07944154167984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,2.01490302054226
0,0,0,1,0,36,12.96,46.656,167.9616,604.66176,2176.782336,7836.4164096,28211.09907456,101559.956668416,1,0,0,0,1,16,2.77258872223978
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,0,1,8.5,2.14006616349627
0,0,1,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,0,0,0,0,1,9,2.19722457733622
0,1,0,0,0,9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0,0,0,0,1,10.25,2.32727770558442
1,0,0,0,0,63,39.69,250.047,1575.2961,9924.36543,62523.502209,393898.0639167,2481557.80267521,15633814.1568538,1,0,0,0,1,10.5,2.35137525716348
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.05,2.08567209143047
0,1,0,0,0,11,1.21,1.331,1.4641,1.61051,1.771561,1.9487171,2.14358881,2.357947691,0,0,0,0,1,8,2.07944154167984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.25,1.98100146886658
0,0,1,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,1,0,0,0,1,20.7,3.03013370027132
1,0,0,0,0,37,13.69,50.653,187.4161,693.43957,2565.726409,9493.1877133,35124.79453921,129961.739795077,0,0,0,0,1,15.15,2.71800053195538
0,1,0,0,0,15,2.25,3.375,5.0625,7.59375,11.390625,17.0859375,25.62890625,38.443359375,0,0,0,0,1,10,2.30258509299405
0,0,1,0,0,29,8.41,24.389,70.7281,205.11149,594.823321,1724.9876309,5002.46412961,14507.145975869,1,0,0,0,1,25,3.2188758248682
0,0,0,1,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,1,9.25,2.22462355152433
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,2.19722457733622
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.5,2.2512917986065
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
0,0,0,0,1,10,1,1,1,1,1,1,1,1,0,0,0,0,1,18.15,2.89867056071086
0,1,0,0,0,15,2.25,3.375,5.0625,7.59375,11.390625,17.0859375,25.62890625,38.443359375,0,0,0,0,1,8.05,2.08567209143047
0,0,1,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0,0,0,0,1,10,2.30258509299405
1,0,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,0,0,0,0,1,8,2.07944154167984
0,0,1,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,9.5,2.2512917986065
0,1,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,0,1,7.8,2.05412373369555
0,1,0,0,0,26,6.76,17.576,45.6976,118.81376,308.915776,803.1810176,2088.27064576,5429.503678976,1,0,0,0,0,12,2.484906649788
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2.30258509299405
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.09861228866811
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.61,2.86846692250811
0,0,0,0,1,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,0,0,36,3.58351893845611
0,0,1,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,0,0,0,0,0,9.47,2.24812890719799
0,1,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0,0,0,0,0,10,2.30258509299405
0,0,1,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,0,8.5,2.14006616349627
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,0,0,0,0,0,8,2.07944154167984
0,1,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,0,0,10,2.30258509299405
0,0,1,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,0,11,2.39789527279837
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.30258509299405
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.07944154167984
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,2.24812890719799
1,0,0,0,0,24,5.76,13.824,33.1776,79.62624,191.102976,458.6471424,1100.75314176,2641.807540224,1,0,0,0,0,12,2.484906649788
1,0,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,0,9,2.19722457733622
0,0,0,1,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,1,0,0,0,0,51,3.93182563272433
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.6094379124341
0,1,0,0,0,9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0,0,0,0,0,10,2.30258509299405
0,1,0,0,0,22,4.84,10.648,23.4256,51.53632,113.379904,249.4357888,548.75873536,1207.269217792,0,0,0,0,0,8,2.07944154167984
0,1,0,0,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,0,0,13,2.56494935746154
0,1,0,0,0,31,9.61,29.791,92.3521,286.29151,887.503681,2751.2614111,8528.91037441,26439.622160671,0,0,0,0,0,18.62,2.92423627184892
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,2.06051353179432
0,0,1,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,0,1,30,3.40119738166216
0,1,0,0,0,23,5.29,12.167,27.9841,64.36343,148.035889,340.4825447,783.10985281,1801.152661463,1,0,0,0,1,17,2.83321334405622
0,0,0,0,1,32,10.24,32.768,104.8576,335.54432,1073.741824,3435.9738368,10995.11627776,35184.372088832,1,0,0,0,1,70,4.24849524204936
0,1,0,0,0,32,10.24,32.768,104.8576,335.54432,1073.741824,3435.9738368,10995.11627776,35184.372088832,1,0,0,0,1,9,2.19722457733622
0,1,0,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,1,0,0,0,1,25,3.2188758248682
0,0,1,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,1,0,0,0,1,30,3.40119738166216
1,0,0,0,0,22,4.84,10.648,23.4256,51.53632,113.379904,249.4357888,548.75873536,1207.269217792,0,0,0,0,1,10,2.30258509299405
0,0,1,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,1,10,2.30258509299405
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,1,13.75,2.62103882411258
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,2.2512917986065
0,0,1,0,0,56,31.36,175.616,983.4496,5507.31776,30840.979456,172709.4849536,967173.11574016,5416169.4481449,0,0,0,0,1,20,2.99573227355399
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,0,1,8.5,2.14006616349627
0,1,0,0,0,19,3.61,6.859,13.0321,24.76099,47.045881,89.3871739,169.83563041,322.687697779,1,0,0,0,1,13.12,2.57413778351594
0,0,0,1,0,18,3.24,5.832,10.4976,18.89568,34.012224,61.2220032,110.19960576,198.359290368,0,0,0,0,1,16,2.77258872223978
0,1,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,1,16.72,2.81660560765656
